Roll,Pitch,Yaw,mSpeed,Time
3.0819618701934814,-1.0746690034866333,2.6616795063018799,-0.56852003453371924,1431194759.65382
3.0820531845092773,-1.0745488405227661,2.6616063117980957,-0.56865773114738671,1431194759.6652119
3.080704927444458,-1.0828254222869873,2.6613163948059082,-0.5591734670696904,1431194759.676446
3.0804009437561035,-1.1128430366516113,2.6645936965942383,-0.52477581478680579,1431194759.687655
3.0775716304779053,-1.1535542011260986,2.6682660579681396,-0.47812425671778469,1431194759.6988571
3.0683703422546387,-1.2056947946548462,2.6815388202667236,-0.41837553770769742,1431194759.7104959
3.0553059577941895,-1.2598115205764771,2.6979804039001465,-0.35636233778018406,1431194759.721595
3.0344908237457275,-1.3168480396270752,2.7230932712554932,-0.29100330138584807,1431194759.733156
3.0001366138458252,-1.3747336864471436,2.7615745067596436,-0.22467123624235227,1431194759.744292
2.9358437061309814,-1.4324628114700317,2.8303031921386719,-0.15851853186646112,1431194759.7555161
2.8322951793670654,-1.4757330417633057,2.9365224838256836,-0.10893450037918655,1431194759.7666509
2.6057181358337402,-1.5102283954620361,-3.1159369945526123,0.069405736784221683,1431194759.777909
2.1538033485412598,-1.5336222648620605,-2.6619980335235596,0.042598337122188926,1431194759.7889309
1.5510400533676147,-1.5400722026824951,-2.0597622394561768,0.035207252817534708,1431194759.7999339
1.2168991565704346,-1.5371776819229126,-1.724856972694397,0.038524129282276082,1431194759.8113239
1.0534001588821411,-1.5336977243423462,-1.5600417852401733,0.042511866927296464,1431194759.8224821
0.92986994981765747,-1.5318474769592285,-1.4372663497924805,0.044632094249451769,1431194759.8336179
0.78976732492446899,-1.5281893014907837,-1.3005911111831665,0.048824054550655374,1431194759.8447731
0.66242659091949463,-1.520254373550415,-1.1745467185974121,0.057916812185126502,1431194759.856993
0.52109616994857788,-1.5100985765457153,-1.0358892679214478,0.069554498304344459,1431194759.86885
0.41530004143714905,-1.4978642463684082,-0.93312680721282959,0.08357400799092915,1431194759.8801379
0.35144275426864624,-1.4818381071090698,-0.86990821361541748,0.10193861081990946,1431194759.8912511
0.30171743035316467,-1.4638864994049072,-0.82101285457611084,0.12250963795837037,1431194759.9024849
0.2527325451374054,-1.4441983699798584,-0.77475690841674805,0.14507057240962296,1431194759.9136281
0.21607837080955505,-1.4236056804656982,-0.74290227890014648,0.16866805636931645,1431194759.9257929
0.19079329073429108,-1.3997119665145874,-0.72111225128173828,0.19604823569514679,1431194759.938607
0.17068171501159668,-1.3754920959472656,-0.70335811376571655,0.22380216297235989,1431194759.950439
0.15487737953662872,-1.3514697551727295,-0.69006919860839844,0.25132973778047896,1431194759.9626579
0.14887611567974091,-1.3228939771652222,-0.67359048128128052,0.28407516730313742,1431194759.970114
0.14145413041114807,-1.290217399597168,-0.65083575248718262,0.3215197669747647,1431194759.982944
0.13310082256793976,-1.2763408422470093,-0.63682574033737183,0.33742113038147126,1431194759.995384
0.13543733954429626,-1.2725753784179688,-0.63319611549377441,0.34173603408773517,1431194760.0075109
0.1406288743019104,-1.2781680822372437,-0.62910199165344238,0.33532726758951215,1431194760.01983
0.141673743724823,-1.2858014106750488,-0.62590020895004272,0.32658011752704369,1431194760.027329
0.14960432052612305,-1.3078408241271973,-0.62733179330825806,0.30132481005200445,1431194760.039222
0.16167493164539337,-1.3356248140335083,-0.63243001699447632,0.26948670285869042,1431194760.0514131
0.18339818716049194,-1.371620774269104,-0.64967852830886841,0.22823837083828324,1431194760.065248
0.19693213701248169,-1.3976703882217407,-0.66424423456192017,0.19838771208965938,1431194760.072665
0.23028707504272461,-1.4357610940933228,-0.70295488834381104,0.15473897838734274,1431194760.0850329
0.31717795133590698,-1.4746888875961304,-0.79688721895217896,0.11013101291798932,1431194760.097523
0.51456737518310547,-1.5103092193603516,-1.0040029287338257,0.069313119419076377,1431194760.1106441
0.76775693893432617,-1.5275284051895142,-1.2617716789245605,0.049581385925826282,1431194760.1178229
1.5155103206634521,-1.5404273271560669,-2.0178942680358887,0.034800310146785307,1431194760.129272
2.1540541648864746,-1.5337845087051392,-2.6613352298736572,0.042412419372980993,1431194760.1406331
2.4219489097595215,-1.5238547325134277,-2.9300296306610107,0.053791104718872024,1431194760.1526361
2.5508320331573486,-1.5148557424545288,-3.0598375797271729,0.064103187723974026,1431194760.1638739
2.6285231113433838,-1.5065405368804932,-3.1383383274078369,0.073631711427491947,1431194760.1752009
2.6836178302764893,-1.4986206293106079,3.0897579193115234,-0.082707256985254676,1431194760.1865399
2.7194573879241943,-1.491912841796875,3.0564918518066406,-0.090393815273403677,1431194760.1978171
2.7395265102386475,-1.4885764122009277,3.038597583770752,-0.094217081963209923,1431194760.209029
2.7242972850799561,-1.4912154674530029,3.0550971031188965,-0.091192947406294994,1431194760.220377
2.6962821483612061,-1.4981067180633545,3.0809066295623779,-0.083296155895493204,1431194760.2316411
2.6277592182159424,-1.5086017847061157,-3.138211727142334,0.071269695408718123,1431194760.242974
2.4801008701324463,-1.5208179950714111,-2.9924864768981934,0.057270949497210212,1431194760.254235
2.2804014682769775,-1.5284476280212402,-2.791337251663208,0.048528034152027145,1431194760.265569
2.137570858001709,-1.5314152240753174,-2.6478602886199951,0.0451274195680611,1431194760.2766311
2.0183460712432861,-1.5340756177902222,-2.5305123329162598,0.042078832933917738,1431194760.2878649
1.7930628061294556,-1.5369479656219482,-2.3075046539306641,0.038787364772888397,1431194760.2995391
1.3753833770751953,-1.5369902849197388,-1.8884555101394653,0.0387388704297814,1431194760.3109391
